OBJECTID,AreaSQKM,CITY,CITYCODE,MUNITYPE,DISTRICT,MUNICIPAL,MUNICODE,Shape_Length,Shape_Area,ACC_INDEX,SUMACCIDEN,INJTOTAL,DEAD,SEVER_INJ,SLIGH_INJ,INJ0_19,INJ20_64,INJ65_,PEDESTRINJ,TOTDRIVERS,VEHICLE,BICYCLE,MOTORCYCLE,PRIVATE,TRUCK,YEARMONTH
1,1.891241534,אבו גוש,472,מועצה מקומית,ירושלים,אבו גוש,472,10069.40878,1891241.534,61.86412358,117,146,0,4,142,25,96,15,19,203,203,6,14,142,7,202012
2,6.695521246,אבו סנאן,473,מועצה מקומית,צפון,אבו סנאן,473,20575.41264,6695521.246,43.76059596,293,541,1,11,529,140,373,24,34,501,501,12,16,393,10,202012
3,8.265593603,אבן יהודה,182,מועצה מקומית,מרכז,אבן יהודה,182,17330.65743,8265593.603,33.27044774,275,361,3,13,345,56,259,39,40,530,530,8,35,399,16,202012
4,26.02828628,אום אל פחם,2710,עירייה,חיפה,אום אל פחם,2710,44152.45151,26028286.28,41.99277618,1093,1788,5,44,1739,494,1193,61,201,1850,1850,13,80,1294,62,202012
5,10.37952453,אופקים,31,עירייה,דרום,אופקים,31,14685.33823,10379524.53,31.02261563,322,416,3,15,398,87,280,44,66,526,526,28,10,355,14,202012
6,6.663640016,אור יהודה,2400,עירייה,תל אביב,אור יהודה,2400,15178.69253,6663640.016,163.2741261,1088,1334,7,47,1280,170,995,129,183,1931,1931,49,228,1239,64,202012
7,5.546007116,אור עקיבא,1020,עירייה,חיפה,אור עקיבא,1020,13757.48224,5546007.116,76.45139848,424,533,2,26,505,95,356,66,82,719,719,54,19,501,23,202012
8,2.21627128,אזור,565,מועצה מקומית,תל אביב,אזור,565,8650.436299,2216271.28,137.618532,305,358,2,11,345,43,276,29,45,517,517,17,82,302,14,202012
9,100.6570827,אילת,2600,עירייה,דרום,אילת,2600,92453.00237,100657082.7,14.05762974,1415,1753,5,51,1697,298,1224,151,275,2391,2391,221,289,1230,41,202012
10,9.104624169,אכסאל,478,מועצה מקומית,צפון,אכסאל,478,15949.09368,9104624.169,25.81105992,235,360,0,21,339,89,253,16,41,398,398,6,12,280,14,202012
11,0.42537274,ואדי חמאם,993,מועצה אזורית,צפון,אל בטוף,5565,5128.546906,425372.7396,32.91231125,14,23,0,0,23,10,13,0,2,19,19,0,0,16,0,202012
12,1.330151189,עוזיר,528,מועצה אזורית,צפון,אל בטוף,5565,7098.893466,1330151.189,14.28409052,19,24,1,4,19,10,14,0,7,28,28,1,0,18,1,202012
13,0.378445016,רומאנה,539,מועצה אזורית,צפון,אל בטוף,5565,3178.454393,378445.0156,13.21195892,5,6,0,1,5,0,6,0,2,9,9,0,1,6,0,202012
14,1.716485694,רמת אלהייב,997,מועצה אזורית,צפון,אל בטוף,5565,8707.687191,1716485.694,12.23429946,21,30,0,0,30,8,20,2,3,35,35,1,0,26,1,202012
