OBJECTID,POP_2018,USETYPE,USETYPECOD,CITY,MAINUSE,TAZAREA,SUMACCIDEN,DEAD,SEVER_INJ,SLIGH_INJ,PEDESTRINJ,INJ0_19,INJ20_64,INJ65_,INJTOTAL,TOTDRIVERS,MOTORCYCLE,TRUCK,BICYCLE,PRIVATE,VEHICLE,Shape_Length,Shape_Area,CITYCODE,ACC_INDEX,YEARMONTH
5275,9948,מגורים,1,ראשון לציון,מגורים,852978,63,0,8,72,29,15,47,17,80,101,18,2,4,67,101,3765.786332,852977.6304,8300,73.8588803,202012
5276,6378,מגורים,1,טבריה,מגורים,1475818,13,0,1,26,1,10,17,0,27,29,3,0,2,20,29,6981.506433,1475817.504,6700,8.80867424,202012
5277,12277,מגורים,1,ירושלים,מגורים,346241,16,0,2,17,10,10,6,3,19,25,2,0,1,14,25,3958.16145,346241.1813,3000,46.21058742,202012
5278,5341,מגורים,1,הרצלייה,מגורים,499512,14,0,0,18,4,2,13,2,18,25,2,0,1,17,25,3065.801625,499511.9653,6400,28.0273547,202012
5279,0,פנאי/טבע/ספורט,3,קריית אתא,שטח פתוח,508601,4,0,0,19,0,7,10,2,19,14,0,0,0,13,14,3692.333816,508601.2067,6800,7.864711237,202012
5280,4250,מגורים,1,אשדוד,מגורים,339317,38,0,0,79,7,12,55,11,79,72,4,3,0,56,72,2799.189086,339317.0836,70,111.9896734,202012
5281,0,פנאי/טבע/ספורט,3,באר שבע,שטח פתוח,681282,1,0,0,6,0,1,5,0,6,2,0,0,0,2,2,4962.864616,681282.3769,9000,1.467820961,202012
5282,2992,מגורים,1,טל שחר נחשון בקוע נווה שלום,מגורים,28874994,36,1,10,79,2,13,68,9,90,73,3,1,5,54,73,34926.8309,28874993.83,0,1.246753506,202012
5283,1737,מגורים,1,תל אביב -יפו,מגורים,230938,84,1,11,106,6,14,94,9,118,176,44,5,4,101,176,1966.35904,230938.1757,5000,363.7339892,202012
5284,19257,מגורים,1,בני ברק,מגורים,435224,44,0,9,42,36,23,15,12,51,55,8,2,4,21,55,2970.819358,435223.6548,6100,101.097366,202012
5285,0,עתידי/לא ידוע,5,דאהרייה,לא ידוע,58946757,6,1,2,12,0,0,15,0,15,13,0,1,0,7,13,40071.50737,58946756.63,0,0.10178677,202012
