נבדק ואושר,סוג נכס,מהות עסקה,מקור,"ת""ח",חלקה,גוש,תאריך עסקה,עיר,רחוב,מספר,כניסה,דירה,מחיר מוצהר,מחיר מוערך,שטח ברוטו,שטח נטו,מגרש,חדרים,מחיר למר,מחיר לחדר,גלריה,מרפסת,קומה,קומות,דירות בבנין,מעלית,חניה,מחסן,גג,חצר,שנת בניה,זכויות בניה,אחוזי בניה,תפקוד הבנין,מהות הזכות,תפקוד היחידה  ,שומה חלקים
לא,דירת מגורים,דירה בבית קומות,רשות,0,263,7109,25/03/2021,תל אביב -יפו,בק ישראל,0,,0,"3,346,000","3,346,000",69,69,0,3,"48,493","1,115,333",0,,5+XFD2,7,20,,1,0,0,0,2021,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,0,263,7109,22/03/2021,תל אביב -יפו,בק ישראל,0,,0,"2,882,500","2,882,500",60,60,0,3,"48,042","960,833",0,,4,7,20,,1,0,0,0,2021,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,0,263,7109,16/03/2021,תל אביב -יפו,בק ישראל,0,,0,"3,170,000","3,170,000",83,83,0,3,"38,193","1,056,667",0,,5,7,20,,1,0,0,0,2021,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,0,263,7109,11/03/2021,תל אביב -יפו,בק ישראל,0,,0,"2,280,000","2,280,000",50,50,0,2,"45,600","1,140,000",0,,2,7,20,,1,0,0,0,2021,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,10,406,7109,11/03/2021,תל אביב -יפו,קארו יוסף,7,,7,"1,750,000","1,750,000",35,30,0,2,"58,333","875,000",0,,2,7,26,,1,0,0,0,1995,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,0,263,7109,04/03/2021,תל אביב -יפו,בק ישראל,1,,13,"2,604,000","2,604,000",60,60,0,3,"43,400","868,000",0,,3,6,19,,0,0,0,0,2021,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,0,263,7109,02/03/2021,תל אביב -יפו,בק ישראל,19,,4,"2,565,500","2,565,500",57,57,0,2,"45,009","1,282,750",0,,1,8,19,,0,0,0,0,2021,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,0,263,7109,25/02/2021,תל אביב -יפו,תל אביב -י - ללא רחו,1,,1,"2,410,800","2,410,800",55,55,0,2,"43,833","1,205,400",0,,1,8,19,,0,0,0,0,2021,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,-1,263,7109,25/02/2021,תל אביב -יפו,תל אביב -י - ללא רחו,1,,1,"2,367,750","2,367,750",55,55,0,2,"43,050","1,183,875",0,,3,8,19,,0,0,0,0,2021,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,10,119,6951,25/02/2021,תל אביב -יפו,הנביאים,31,,9,"2,925,500","2,925,500",66,66,0,2,"44,326","1,462,750",0,,2,4,15,,0,0,0,0,1940,,,מגורים,בעלות,דירה בבית קומות,1
